Time(ms),RPM,TPS(%),Coolant(C),MAP(mBar),VBAT(V),Gear,Lambda1,CRC32
8440,1800,-1.00,0.2,-1.0,14.14,-1,1.002,46
8460,1800,-1.00,0.2,-1.0,14.18,-1,1.002,32
8480,1800,-1.00,0.2,-1.0,14.12,-1,1.002,36
8500,1800,-1.00,0.2,-1.0,14.12,-1,1.002,45
8520,1800,-1.00,0.2,-1.0,14.19,-1,1.002,36
8540,1800,-1.00,0.2,-1.0,14.13,-1,1.002,40
8560,1800,-1.00,0.3,-1.0,14.17,-1,1.002,47
8580,1800,-1.00,0.3,-1.0,14.18,-1,1.002,46
8600,1800,-1.00,0.3,-1.0,14.19,-1,1.002,36
8620,1800,-1.00,0.3,-1.0,14.11,-1,1.002,46
8640,1800,-1.00,0.3,-1.0,14.11,-1,1.002,40
8660,1800,-1.00,0.4,-1.0,14.12,-1,1.002,46
8680,1800,-1.00,0.4,-1.0,14.16,-1,1.002,36
8700,1800,-1.00,0.4,-1.0,14.17,-1,1.002,44
8720,1800,-1.00,0.4,-1.0,14.17,-1,1.002,46
8740,1800,-1.00,0.4,-1.0,14.12,-1,1.002,45
8760,1800,-1.00,0.4,-1.0,14.16,-1,1.002,43
8780,1800,-1.00,0.5,-1.0,14.13,-1,1.002,33
8800,1800,-1.00,0.5,-1.0,14.17,-1,1.002,34
8820,1800,-1.00,0.5,-1.0,14.20,-1,1.002,36
8840,1800,-1.00,0.5,-1.0,14.12,-1,1.002,35
8860,1800,-1.00,0.5,-1.0,14.13,-1,1.002,32
8880,1800,-1.00,0.5,-1.0,14.11,-1,1.002,44
8900,1800,-1.00,0.6,-1.0,14.20,-1,1.002,36
8920,1800,-1.00,0.6,-1.0,14.17,-1,1.002,34
8940,1800,-1.00,0.6,-1.0,14.18,-1,1.002,43
8960,1800,-1.00,0.6,-1.0,14.10,-1,1.002,33
8980,1800,-1.00,0.6,-1.0,14.15,-1,1.002,42
9000,1800,-1.00,0.7,-1.0,14.13,-1,1.002,45
9020,1800,-1.00,0.7,-1.0,14.20,-1,1.002,47
9040,1800,-1.00,0.7,-1.0,14.15,-1,1.002,47
9060,1800,-1.00,0.7,-1.0,14.13,-1,1.002,43
9080,1800,-1.00,0.7,-1.0,14.13,-1,1.002,37
9100,1800,-1.00,0.7,-1.0,14.18,-1,1.002,39
9120,1800,-1.00,0.8,-1.0,14.11,-1,1.002,35
9140,1800,-1.00,0.8,-1.0,14.14,-1,1.002,32
9160,1800,-1.00,0.8,-1.0,14.18,-1,1.002,46
9180,1800,-1.00,0.8,-1.0,14.11,-1,1.002,41
9200,1800,-1.00,0.8,-1.0,14.13,-1,1.002,32
9220,1800,-1.00,0.9,-1.0,14.12,-1,1.002,34
9240,1800,-1.00,0.9,-1.0,14.20,-1,1.002,37
9260,1800,-1.00,0.9,-1.0,14.13,-1,1.002,39
9280,1800,-1.00,0.9,-1.0,14.19,-1,1.002,35
9300,1800,-1.00,0.9,-1.0,14.15,-1,1.002,38
9320,1800,-1.00,0.9,-1.0,14.14,-1,1.002,37
9340,1800,-1.00,1.0,-1.0,14.15,-1,1.002,42
9360,1800,-1.00,1.0,-1.0,14.17,-1,1.002,42
9380,1800,-1.00,1.0,-1.0,14.14,-1,1.002,39
9400,1800,-1.00,1.0,-1.0,14.16,-1,1.002,42
9420,1800,-1.00,1.0,-1.0,14.12,-1,1.002,44
9440,1800,-1.00,1.1,-1.0,14.14,-1,1.002,45
9460,1800,-1.00,1.1,-1.0,14.16,-1,1.002,45
9480,1800,-1.00,1.1,-1.0,14.15,-1,1.002,32
9500,1800,-1.00,1.1,-1.0,14.12,-1,1.002,46
9520,1800,-1.00,1.1,-1.0,14.12,-1,1.002,44
9540,1800,-1.00,1.1,-1.0,14.16,-1,1.002,46
9560,1800,-1.00,1.2,-1.0,14.11,-1,1.002,40
9580,1800,-1.00,1.2,-1.0,14.17,-1,1.002,32
9600,1800,-1.00,1.2,-1.0,14.18,-1,1.002,36
9620,1800,-1.00,1.2,-1.0,14.20,-1,1.002,45
9640,1800,-1.00,1.2,-1.0,14.13,-1,1.002,43
9660,1800,-1.00,1.3,-1.0,14.16,-1,1.002,45
9680,1800,-1.00,1.3,-1.0,14.14,-1,1.002,33
9700,1800,-1.00,1.3,-1.0,14.18,-1,1.002,36
9720,1800,-1.00,1.3,-1.0,14.16,-1,1.002,40
9740,1800,-1.00,1.3,-1.0,14.19,-1,1.002,33
9760,1800,-1.00,1.3,-1.0,14.14,-1,1.002,46
9780,1800,-1.00,1.4,-1.0,14.11,-1,1.002,34
9800,1800,-1.00,1.4,-1.0,14.19,-1,1.002,45
9820,1800,-1.00,1.4,-1.0,14.17,-1,1.002,33
9840,1800,-1.00,1.4,-1.0,14.15,-1,1.002,37
9860,1800,-1.00,1.4,-1.0,14.11,-1,1.002,35
9880,1800,-1.00,1.4,-1.0,14.19,-1,1.002,37
9900,1800,-1.00,1.5,-1.0,14.19,-1,1.002,45
9920,1800,-1.00,1.5,-1.0,14.11,-1,1.002,39
9940,1800,-1.00,1.5,-1.0,14.10,-1,1.002,32
9960,1800,-1.00,1.5,-1.0,14.18,-1,1.002,42
9980,1800,-1.00,1.5,-1.0,14.17,-1,1.002,43
10000,1800,-1.00,1.6,-1.0,14.16,-1,1.002,16
